CountryISO2Code,Country,LocationCode,LocationName,NotificationRate,NotificationRateGeoLevel,VaccineUptake,VaccineGeoLevel,TestingRate,TestingGeoLevel,WeightedRate,Colour,Week
HU,Hungary,HU33,Dél-Alföld,1151.252463,Regional,61.7054809,National,2706.446556,National,796.0595288,Dark Red,2022-03
IE,Ireland,IE04,Northern and Western,4350.946423,Regional,77.80283375,National,2711.665364,National,2658.366617,Dark Red,2022-03
IE,Ireland,IE05,Southern,3407.681756,Regional,77.80283375,National,2711.665364,National,2082.04527,Dark Red,2022-03
IE,Ireland,IE06,Eastern and Midland,3946.636157,Regional,77.80283375,National,2711.665364,National,2411.338773,Dark Red,2022-03
IS,Iceland,IS,Ísland/Iceland,5030.016423,National,77.73402099,National,17202.73306,National,3074.999412,Dark Red,2022-03
IT,Italy,ITC1,Piemonte,4436.867826,Regional,67.86255482,Regional,14757.59629,Regional,2931.381896,Dark Red,2022-03
IT,Italy,ITC2,Valle d’Aosta/Vallée d’Aoste,5151.39882,Regional,65.40141082,Regional,14460.86664,Regional,3466.855067,Dark Red,2022-03
IT,Italy,ITC3,Liguria,5222.366355,Regional,71.44270887,Regional,13693.30009,Regional,3356.86636,Dark Red,2022-03
IT,Italy,ITC4,Lombardia,4319.736663,Regional,71.20102094,Regional,13438.68654,Regional,2781.88836,Dark Red,2022-03
IT,Italy,ITF1,Abruzzo,3883.948341,Regional,70.25869031,Regional,16007.37592,Regional,2519.542722,Dark Red,2022-03
IT,Italy,ITF2,Molise,2353.618443,Regional,70.53734244,Regional,8083.097073,Regional,1523.528493,Dark Red,2022-03
IT,Italy,ITF3,Campania,4379.389662,Regional,67.23635945,Regional,11619.63207,Regional,2907.118574,Dark Red,2022-03
IT,Italy,ITF4,Puglia,4875.13612,Regional,69.13989687,Regional,11421.70918,Regional,3189.804077,Dark Red,2022-03
IT,Italy,ITF5,Basilicata,2382.99226,Regional,67.4344876,Regional,7933.607349,Regional,1579.51295,Dark Red,2022-03
IT,Italy,ITF6,Calabria,1655.764449,Regional,66.33115289,Regional,4200.231243,Regional,1106.620625,Dark Red,2022-03
IT,Italy,ITG1,Sicilia,2424.286555,Regional,64.51616212,Regional,5791.983656,Regional,1642.258233,Dark Red,2022-03
IT,Italy,ITG2,Sardegna,1106.401567,Regional,63.77349265,Regional,12143.11553,Regional,753.6061061,Dark Red,2022-03
IT,Italy,ITH1,Provincia Autonoma di Bolzano/Bozen,6608.166055,Regional,64.37808367,Regional,21240.0778,Regional,4481.060719,Dark Red,2022-03
IT,Italy,ITH2,Provincia Autonoma di Trento,5735.527341,Regional,66.34184352,Regional,16473.759,Regional,3833.000054,Dark Red,2022-03
IT,Italy,ITH3,Veneto,4998.920915,Regional,68.071889,Regional,19466.77822,Regional,3297.490967,Dark Red,2022-03
IT,Italy,ITH4,Friuli-Venezia Giulia,4796.902047,Regional,67.55357249,Regional,16458.6608,Regional,3176.662696,Dark Red,2022-03
IT,Italy,ITH5,Emilia-Romagna,5757.194197,Regional,69.57265252,Regional,11190.83071,Regional,3754.47784,Dark Red,2022-03
IT,Italy,ITI1,Toscana,4471.808815,Regional,68.12740772,Regional,13305.80046,Regional,2948.545103,Dark Red,2022-03
IT,Italy,ITI2,Umbria,3289.605994,Regional,70.5351284,Regional,12625.99622,Regional,2129.442088,Dark Red,2022-03
IT,Italy,ITI3,Marche,4172.087538,Regional,68.5884977,Regional,7833.621565,Regional,2741.301455,Dark Red,2022-03
